City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
3,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
12,Bengkulu,ID,77.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
14,Rikitea,PF,76.48,overcast clouds,-23.1203,-134.9692,People ThankYou
20,Lere,NG,86.07,overcast clouds,10.387,8.5726,
24,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
31,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
33,Raga,SS,80.1,overcast clouds,8.4596,25.678,
34,Mumford,GH,82.15,overcast clouds,5.2618,-0.759,Spanish Villa
35,Daru,PG,80.65,broken clouds,-9.0763,143.2092,Daru Lodge
38,Puerto Leguizamo,CO,82.53,moderate rain,-0.1934,-74.7819,la casona de juancho
39,Dibulla,CO,83.64,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
43,Hithadhoo,MV,83.16,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Iracoubo,GF,81.32,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
50,Atuona,PF,78.58,clear sky,-9.8,-139.0333,Villa Enata
57,Marsh Harbour,BS,78.66,clear sky,26.5412,-77.0636,Abaco Beach Resort
62,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
67,Puerto Narino,CO,84.52,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
77,Santa Cruz,BO,87.26,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
79,Tagusao,PH,80.69,overcast clouds,9.1924,117.8141,Green Villa beach resort
80,Butaritari,KI,82.06,few clouds,3.0707,172.7902,Isles Sunset Lodge
82,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
88,Tautira,PF,80.58,light rain,-17.7333,-149.15,Pension Oaoa
89,Rio Verde De Mato Grosso,BR,84.34,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
91,Springfield,US,75.65,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
99,Itacarambi,BR,85.21,broken clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
102,Belmonte,BR,76.26,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
104,Tessalit,ML,85.68,clear sky,20.1986,1.0114,
111,Aracati,BR,79.99,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
119,Phuket,TH,88.12,light rain,8.0,98.25,The Surin
123,Faanui,PF,81.86,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Le Port,RE,75.16,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
127,Lazaro Cardenas,MX,84.25,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
129,Conakry,GN,82.47,broken clouds,9.538,-13.6773,Riviera Royal Hotel
