City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lompoc,US,34.6391,-120.4579,73.56,57,0,32.01,clear sky
1,Vaini,TO,-21.2,-175.2,75.36,78,20,9.22,few clouds
2,Mossendjo,CG,-2.9506,12.7261,71.28,97,31,0.22,scattered clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,80.56,76,17,11.23,few clouds
4,Deputatskiy,RU,69.3,139.9,14.52,97,100,4.18,overcast clouds
5,Mount Gambier,AU,-37.8333,140.7667,39.11,100,40,5.75,scattered clouds
6,Thompson,CA,55.7435,-97.8558,55.56,58,75,19.57,broken clouds
7,Mar Del Plata,AR,-38.0023,-57.5575,73.42,69,0,23.02,clear sky
8,Quatre Cocos,MU,-20.2078,57.7625,75.31,86,25,9.33,scattered clouds
9,Molokovo,RU,58.1661,36.7628,40.48,90,100,5.39,overcast clouds
10,Laguna,US,38.421,-121.4238,64.36,43,20,13.8,few clouds
11,Hermanus,ZA,-34.4187,19.2345,51.8,74,95,4.07,overcast clouds
12,Bengkulu,ID,-3.8004,102.2655,77.14,82,96,4.07,overcast clouds
13,Ponta Do Sol,PT,32.6667,-17.1,66.7,74,76,5.44,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,76.48,76,87,21.14,overcast clouds
15,Lavrentiya,RU,65.5833,-171.0,31.77,91,100,5.23,overcast clouds
16,Methoni,GR,36.8197,21.7049,66.22,79,16,6.82,few clouds
17,Sorland,NO,67.667,12.6934,39.06,97,100,14.03,overcast clouds
18,Busselton,AU,-33.65,115.3333,56.19,81,7,2.33,clear sky
19,Salekhard,RU,66.53,66.6019,34.83,100,100,6.71,overcast clouds
20,Lere,NG,10.387,8.5726,86.07,43,100,5.53,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,58.91,83,0,5.01,clear sky
22,Port Hedland,AU,-20.3167,118.5667,69.85,43,89,8.05,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,37.56,64,100,4.47,overcast clouds
24,Georgetown,MY,5.4112,100.3354,82.33,93,20,2.3,light rain
25,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,23.02,scattered clouds
26,Te Anau,NZ,-45.4167,167.7167,47.66,93,100,1.14,light rain
27,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,39,7.99,scattered clouds
28,Bluff,NZ,-46.6,168.3333,49.8,88,100,2.35,moderate rain
29,Taft,IR,31.7471,54.2088,71.55,13,0,13.8,clear sky
30,Rafai,CF,4.95,23.9167,70.81,96,99,5.3,light rain
31,Avarua,CK,-21.2078,-159.775,82.45,83,40,5.75,scattered clouds
32,San Patricio,US,28.017,-97.5169,92.07,48,3,20.36,clear sky
33,Raga,SS,8.4596,25.678,80.1,61,100,6.53,overcast clouds
34,Mumford,GH,5.2618,-0.759,82.15,82,100,12.86,overcast clouds
35,Daru,PG,-9.0763,143.2092,80.65,90,77,9.71,broken clouds
36,Port Elizabeth,ZA,-33.918,25.5701,62.89,85,75,8.05,broken clouds
37,Ushtobe,KZ,45.2514,77.9838,52.23,25,0,15.88,clear sky
38,Puerto Leguizamo,CO,-0.1934,-74.7819,82.53,69,91,3.29,moderate rain
39,Dibulla,CO,11.2725,-73.3091,83.64,80,76,5.35,broken clouds
40,Cabo San Lucas,MX,22.8909,-109.9124,91.71,23,40,10.36,scattered clouds
41,Yerbogachen,RU,61.2767,108.0108,27.84,90,100,11.88,light snow
42,Ribeira Grande,PT,38.5167,-28.7,66.6,72,20,9.22,few clouds
43,Hithadhoo,MV,-0.6,73.0833,83.16,78,100,17.96,overcast clouds
44,De-Kastri,RU,51.4667,140.7833,33.85,93,100,12.75,snow
45,Ushuaia,AR,-54.8,-68.3,42.46,65,40,35.68,scattered clouds
